Ticker,Nome,Setor,Subsetor,Segmento,Desc_Bazin,Desc_Graham,Desc_Gordon,Indice_PEG,Preco,DY,LPA,VPA,Risco,Payout,ROE,CAGR_lucros_5anos,Cresc_esperado,Media_Crescimento
VBBR3,Vibra,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,7.152,-0.04397657485987736,2.515050117486095,6.55,22.35,0.0192,1.75,11.64,0.0881,0.24521142857142858,0.1501,0.1207,0.11329376457142858,0.11699688228571428
VITT3,Vittia,Materiais Básicos,Químicos,Fertilizantes e Defensivos,1.5790666666666666,-0.06697590681977522,-7.471153846153847,-0.49,9.11,0.0104,0.75,4.32,0.0881,0.12632533333333332,0.1727,0.0,0.15088361493333333,0.15088361493333333
VIVA3,Vivara S.A.,Consumo Cíclico,Tecidos. Vestuário e Calçados,Acessórios,6.07185,-1.0777951545815374,-7.5533980582524265,1.37,35.37,0.0103,1.62,7.95,0.0881,0.22488333333333332,0.204,0.0,0.15812379999999998,0.15812379999999998
VIVR3,Viver,Consumo Cíclico,Construção Civil,Incorporações,0.0,0.0,0.0,-0.01,5.2,0.0,0.0,0.84,0.0881,0.0,-5.144400000000001,0.0,-5.144400000000001,-5.144400000000001
VIVT3,Telef Brasil,Comunicações,Telecomunicações,Telecomunicações,34.31306666666667,0.033912383453098854,-0.8823826607344276,-1.58,50.96,0.0404,2.95,41.92,0.0881,0.6978928813559322,0.0703,0.011200000000000002,0.021238130440677967,0.016219065220338984
VIVT4,,,,,0.0,0.14045501306443287,0.0,-1.41,45.34,0.0,2.95,41.92,0.0881,0.0,0.0703,0.011200000000000002,0.0703,0.04075
VLID3,Valid,Bens Industriais,Serviços,Serviços Diversos,10.83375,0.33329878306851796,9.382985677984953,0.01,20.25,0.0321,2.47,16.6,0.0881,0.26316801619433194,0.149,0.48869999999999997,0.10978796558704454,0.29924398279352227
VSPT3,,,,,0.0,0.0,0.0,0.0,4.99,0.0,0.0,13.44,0.0881,0.0,-1.1654,0.0,-1.1654,-1.1654
VSPT4,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,13.44,0.0881,0.0,-1.1654,0.0,-1.1654,-1.1654
VSTE3,,,,,1.9426666666666668,0.09185896649376238,-13.20967741935484,-0.07,18.8,0.0062,2.1,9.07,0.0881,0.055504761904761904,0.23129999999999998,0.0,0.21846174857142855,0.21846174857142855
VULC3,Vulcabras,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,13.061250000000003,0.053132903962019126,4.106504914169411,0.12,19.35,0.0405,2.3,8.07,0.0881,0.3407282608695653,0.2843,0.2447,0.18743095543478258,0.2160654777173913
VVAR11,,,,,0.0,0.0,0.0,0.0,14.58,0.0,0.0,46.63,0.0881,0.0,-0.4032,0.0,-0.4032,-0.4032
VVAR4,,,,,0.0,0.0,0.0,0.0,95.68,0.0,0.0,46.63,0.0881,0.0,-0.4032,0.0,-0.4032,-0.4032
VVEO3,Viveo,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,0.0,-0.1646499843543746,0.0,-0.58,12.16,0.0,0.5,9.69,0.0881,0.0,0.051699999999999996,0.0,0.051699999999999996,0.051699999999999996
WEGE3,Weg,Bens Industriais,Máquinas e Equipamentos,Motores . Compressores e Outros,10.242666666666667,-2.307871207768135,11.27906569853906,0.7,33.4,0.0184,1.18,3.84,0.0881,0.5208135593220339,0.30820000000000003,0.3419,0.14768526101694918,0.24479263050847458
WEST3,Westwing,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,0.0,0.0,0.0,-0.07,1.3,0.0,0.0,2.46,0.0881,0.0,-0.2268,0.0,-0.2268,-0.2268
WHRL3,Whirlpool,Consumo Cíclico,Comércio,Eletrodomésticos,3.9525666666666672,-0.38290606835742186,-0.5565371024734981,-0.52,4.19,0.056600000000000004,0.24,1.7,0.0881,0.9881416666666668,0.1392,0.0,0.0016506799999999803,0.0016506799999999803
