Ticker,Nome,Setor,Subsetor,Segmento
BKBR3,Bk Brasil,Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares
BLAU3,Blau,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
BLUT3,B Tech Eqi,Outros,Outros,Outros
BLUT4,B Tech Eqi,Outros,Outros,Outros
BMEB3,Merc Brasil,Financeiro,Intermediários Financeiros,Bancos
BMEB4,Merc Brasil,Financeiro,Intermediários Financeiros,Bancos
BMGB4,Banco BMG,Financeiro,Intermediários Financeiros,Bancos
BMIN3,Merc Invest,Financeiro,Intermediários Financeiros,Bancos
BMIN4,Merc Invest,Financeiro,Intermediários Financeiros,Bancos
BMKS3,Bic Monark,Consumo Cíclico,Viagens e Lazer,Bicicletas
BMOB3,Bemobi Tech,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
BNBR3,Nord Brasil,Financeiro,Intermediários Financeiros,Bancos
BOAS3,Boa Vista,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
BOBR3,Bombril,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza
BOBR4,Bombril,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza
BPAC11,Btgp Banco,Financeiro,Intermediários Financeiros,Bancos
BPAC3,Btgp Banco,Financeiro,Intermediários Financeiros,Bancos
BPAC5,Btgp Banco,Financeiro,Intermediários Financeiros,Bancos
BPAN4,Banco Pan,Financeiro,Intermediários Financeiros,Bancos
BPAR3,Banpara,Financeiro,Intermediários Financeiros,Bancos
BRAP3,Bradespar,Materiais Básicos,Mineração,Minerais Metálicos
BRAP4,Bradespar,Materiais Básicos,Mineração,Minerais Metálicos
BRAP99,Bradespar,Materiais Básicos,Mineração,Minerais Metálicos
BRBI11,BR Partners,Financeiro,Intermediários Financeiros,Bancos
BRFS3,BRF SA,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
BRGE11,Alfa Consorc,Financeiro,Previdência e Seguros,Seguradoras
BRGE12,Alfa Consorc,Financeiro,Previdência e Seguros,Seguradoras
BRGE3,Alfa Consorc,Financeiro,Previdência e Seguros,Seguradoras
BRGE5,Alfa Consorc,Financeiro,Previdência e Seguros,Seguradoras
BRGE6,Alfa Consorc,Financeiro,Previdência e Seguros,Seguradoras
BRGE7,Alfa Consorc,Financeiro,Previdência e Seguros,Seguradoras
BRGE8,Alfa Consorc,Financeiro,Previdência e Seguros,Seguradoras
BRIT3,Brisanet,Comunicações,Telecomunicações,Telecomunicações
BRIV3,Alfa Invest,Financeiro,Intermediários Financeiros,Bancos
BRIV4,Alfa Invest,Financeiro,Intermediários Financeiros,Bancos
BRKM3,Braskem,Materiais Básicos,Químicos,Petroquímicos
BRKM5,Braskem,Materiais Básicos,Químicos,Petroquímicos
BRKM6,Braskem,Materiais Básicos,Químicos,Petroquímicos
BRML3,BR Malls Par,Financeiro,Exploração de Imóveis,Exploração de Imóveis
BRPR3,BR Propert,Financeiro,Exploração de Imóveis,Exploração de Imóveis
BRQB3,Brq,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
BRSR3,Banrisul,Financeiro,Intermediários Financeiros,Bancos
BRSR5,Banrisul,Financeiro,Intermediários Financeiros,Bancos
BRSR6,Banrisul,Financeiro,Intermediários Financeiros,Bancos
BSLI3,BRB Banco,Financeiro,Intermediários Financeiros,Bancos
BSLI4,BRB Banco,Financeiro,Intermediários Financeiros,Bancos
CABI3B,Cabinda Part,Outros,Outros,Outros
CACO3B,Caconde Part,Outros,Outros,Outros
CALI3,Const A Lind,Consumo Cíclico,Construção Civil,Incorporações
CALI4,Const A Lind,Consumo Cíclico,Construção Civil,Incorporações
CAMB3,Cambuci,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados
CAML3,Camil,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
CARD3,Csu Cardsyst,Bens Industriais,Serviços,Serviços Diversos
CASH3,Meliuz,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
CASN3,Casan,Utilidade Pública,Água e Saneamento,Água e Saneamento
CASN4,Casan,Utilidade Pública,Água e Saneamento,Água e Saneamento
CATA3,Ind Cataguas,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
CATA4,Ind Cataguas,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
CBAV3,Cba,Materiais Básicos,Mineração,Minerais Metálicos
CBEE3,Ampla Energ,Utilidade Pública,Energia Elétrica,Energia Elétrica
CCRO3,CCR SA,Bens Industriais,Transporte,Exploração de Rodovias
CEAB3,Cea Modas,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
CEBR3,Ceb,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEBR5,Ceb,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEBR6,Ceb,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEDO3,Cedro,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
CEDO4,Cedro,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
CEEB3,Coelba,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEEB5,Coelba,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEEB6,Coelba,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEED3,Ceee-D,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEED4,Ceee-D,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEGR3,Ceg,Utilidade Pública,Gás,Gás
CEPE3,Celpe,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEPE5,Celpe,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEPE6,Celpe,Utilidade Pública,Energia Elétrica,Energia Elétrica
CESP3,Cesp,Utilidade Pública,Energia Elétrica,Energia Elétrica
CESP5,Cesp,Utilidade Pública,Energia Elétrica,Energia Elétrica
CESP6,Cesp,Utilidade Pública,Energia Elétrica,Energia Elétrica
CGAS3,Comgas,Utilidade Pública,Gás,Gás
CGAS5,Comgas,Utilidade Pública,Gás,Gás
CGRA3,Grazziotin,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
CGRA4,Grazziotin,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados
CIEL3,Cielo,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
CLSA3,Clearsale,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
CLSC3,Celesc,Utilidade Pública,Energia Elétrica,Energia Elétrica
CLSC4,Celesc,Utilidade Pública,Energia Elétrica,Energia Elétrica
CMIG3,Cemig,Utilidade Pública,Energia Elétrica,Energia Elétrica
CMIG4,Cemig,Utilidade Pública,Energia Elétrica,Energia Elétrica
CMIN3,Csn Mineracao,Materiais Básicos,Mineração,Minerais Metálicos
CMSA3,Cims,Outros,Outros,Outros
CMSA4,Cims,Outros,Outros,Outros
CNSY3,Cinesystem,Comunicações,Mídia,Produção e Difusão de Filmes e Programas
COCE3,Coelce,Utilidade Pública,Energia Elétrica,Energia Elétrica
COCE5,Coelce,Utilidade Pública,Energia Elétrica,Energia Elétrica
COCE6,Coelce,Utilidade Pública,Energia Elétrica,Energia Elétrica
COGN3,Cogna ON,Consumo Cíclico,Diversos,Serviços Educacionais
COMR3,Comerc,Utilidade Pública,Energia Elétrica,Energia Elétrica
CORR3,Cor Ribeiro,Financeiro,Exploração de Imóveis,Exploração de Imóveis
CORR4,Cor Ribeiro,Financeiro,Exploração de Imóveis,Exploração de Imóveis
CPFE3,CPFL Energia,Utilidade Pública,Energia Elétrica,Energia Elétrica
CPLE11,Copel,Utilidade Pública,Energia Elétrica,Energia Elétrica
CPLE3,Copel,Utilidade Pública,Energia Elétrica,Energia Elétrica
CPLE5,Copel,Utilidade Pública,Energia Elétrica,Energia Elétrica
CPLE6,Copel,Utilidade Pública,Energia Elétrica,Energia Elétrica
CRDE3,Cr2,Consumo Cíclico,Construção Civil,Incorporações
CRFB3,Carrefour BR,Consumo não Cíclico,Comércio e Distribuição,Alimentos
CRIV3,Alfa Financ,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento
CRIV4,Alfa Financ,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento
CRPG3,Cristal,Materiais Básicos,Químicos,Químicos Diversos
CRPG5,Cristal,Materiais Básicos,Químicos,Químicos Diversos
CRPG6,Cristal,Materiais Básicos,Químicos,Químicos Diversos
CRTE3B,Conc Rio Ter,Bens Industriais,Transporte,Exploração de Rodovias
CRTE5B,Conc Rio Ter,Bens Industriais,Transporte,Exploração de Rodovias
CSAB3,Seg Al Bahia,Financeiro,Previdência e Seguros,Seguradoras
CSAB4,Seg Al Bahia,Financeiro,Previdência e Seguros,Seguradoras
CSAN3,Cosan,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
CSED3,Cruzeiro Edu,Consumo Cíclico,Diversos,Serviços Educacionais
CSMG3,Copasa,Utilidade Pública,Água e Saneamento,Água e Saneamento
CSNA3,Sid Nacional,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
CSRN3,Cosern,Utilidade Pública,Energia Elétrica,Energia Elétrica
CSRN5,Cosern,Utilidade Pública,Energia Elétrica,Energia Elétrica
CSRN6,Cosern,Utilidade Pública,Energia Elétrica,Energia Elétrica
CTCA3,Ctc S.A.,Consumo não Cíclico,Agropecuária,Agricultura
CTKA3,Karsten,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
CTKA4,Karsten,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
CTNM3,Coteminas,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
CTNM4,Coteminas,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
CTSA3,Santanense,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
CTSA4,Santanense,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
CURY3,Cury S/A,Consumo Cíclico,Construção Civil,Incorporações
CVCB3,Cvc Brasil,Consumo Cíclico,Viagens e Lazer,Viagens e Turismo
CXSE3,Caixa Seguri,Financeiro,Previdência e Seguros,Seguradoras
CYRE3,Cyrela Realt,Consumo Cíclico,Construção Civil,Incorporações
DASA3,Dasa,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
DESK3,Desktopsigma,Comunicações,Telecomunicações,Telecomunicações
DEXP3,Dexxos Par,Materiais Básicos,Químicos,Petroquímicos
DEXP4,Dexxos Par,Materiais Básicos,Químicos,Petroquímicos
DIRR3,Direcional,Consumo Cíclico,Construção Civil,Incorporações
DMMO3,Dommo,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
DMVF3,D1000vfarma,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
DOHL3,Dohler,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
DOHL4,Dohler,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
DOTZ3,Dotz SA,Consumo Cíclico,Diversos,Programas de Fidelização
DTCY3,Dtcom Direct,Bens Industriais,Serviços,Serviços Diversos
DTCY4,Dtcom Direct,Bens Industriais,Serviços,Serviços Diversos
DXCO3,Dexco,Materiais Básicos,Madeira e Papel,Madeira
EALT3,Aco Altona,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
EALT4,Aco Altona,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
ECOR3,Ecorodovias,Bens Industriais,Transporte,Exploração de Rodovias
ECPR3,Encorpar,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
ECPR4,Encorpar,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
EEEL3,Ceee-T,Utilidade Pública,Energia Elétrica,Energia Elétrica
EEEL4,Ceee-T,Utilidade Pública,Energia Elétrica,Energia Elétrica
EGIE3,Engie Brasil,Utilidade Pública,Energia Elétrica,Energia Elétrica
EKTR3,Elektro,Utilidade Pública,Energia Elétrica,Energia Elétrica
EKTR4,Elektro,Utilidade Pública,Energia Elétrica,Energia Elétrica
ELET3,Eletrobras,Utilidade Pública,Energia Elétrica,Energia Elétrica
ELET5,Eletrobras,Utilidade Pública,Energia Elétrica,Energia Elétrica
ELET6,Eletrobras,Utilidade Pública,Energia Elétrica,Energia Elétrica
ELMD3,Eletromidia,Comunicações,Mídia,Publicidade e Propaganda
EMAE3,Emae,Utilidade Pública,Energia Elétrica,Energia Elétrica
EMAE4,Emae,Utilidade Pública,Energia Elétrica,Energia Elétrica
EMBR3,Embraer,Bens Industriais,Material de Transporte,Material Aeronáutico e de Defesa
ENAT3,Enauta Part,Petróleo. Gás e Biocombustíveis,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição
ENBR3,Energias BR,Utilidade Pública,Energia Elétrica,Energia Elétrica
ENEV3,Eneva,Utilidade Pública,Energia Elétrica,Energia Elétrica
ENGI11,Energisa,Utilidade Pública,Energia Elétrica,Energia Elétrica
ENGI3,Energisa,Utilidade Pública,Energia Elétrica,Energia Elétrica
ENGI4,Energisa,Utilidade Pública,Energia Elétrica,Energia Elétrica
ENJU3,Enjoei,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
ENMT3,Energisa Mt,Utilidade Pública,Energia Elétrica,Energia Elétrica
ENMT4,Energisa Mt,Utilidade Pública,Energia Elétrica,Energia Elétrica
EPAR3,Embpar S/A,Bens Industriais,Comércio,Material de Transporte
EQMA3B,Eqtl Maranhao,Utilidade Pública,Energia Elétrica,Energia Elétrica
EQMA5B,Eqtl Maranhao,Utilidade Pública,Energia Elétrica,Energia Elétrica
EQMA6B,Eqtl Maranhao,Utilidade Pública,Energia Elétrica,Energia Elétrica
EQPA3,Eqtl Para,Utilidade Pública,Energia Elétrica,Energia Elétrica
EQPA5,Eqtl Para,Utilidade Pública,Energia Elétrica,Energia Elétrica
EQPA6,Eqtl Para,Utilidade Pública,Energia Elétrica,Energia Elétrica
EQPA7,Eqtl Para,Utilidade Pública,Energia Elétrica,Energia Elétrica
EQTL3,Equatorial,Utilidade Pública,Energia Elétrica,Energia Elétrica
ESPA3,Espacolaser,Consumo Cíclico,Comércio,Produtos Diversos
ESTR3,Estrela,Consumo Cíclico,Viagens e Lazer,Brinquedos e Jogos
ESTR4,Estrela,Consumo Cíclico,Viagens e Lazer,Brinquedos e Jogos
ETER3,Eternit,Bens Industriais,Construção e Engenharia,Produtos para Construção
EUCA3,Eucatex,Materiais Básicos,Madeira e Papel,Madeira
EUCA4,Eucatex,Materiais Básicos,Madeira e Papel,Madeira
EVEN3,Even,Consumo Cíclico,Construção Civil,Incorporações
EZTC3,Eztec,Consumo Cíclico,Construção Civil,Incorporações
FESA3,Ferbasa,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
FESA4,Ferbasa,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
FHER3,Fer Heringer,Materiais Básicos,Químicos,Fertilizantes e Defensivos
FIGE3,Invest Bemge,Outros,Outros,Outros
FIGE4,Invest Bemge,Outros,Outros,Outros
FIQE3,Unifique,Comunicações,Telecomunicações,Telecomunicações
FLEX3,Flex S/A,Bens Industriais,Serviços,Serviços Diversos
FLRY3,Fleury,Saúde,Serv.Méd.Hospit..Análises e Diagnósticos,Serv.Méd.Hospit..Análises e Diagnósticos
FNCN3,Finansinos,Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento
FRAS3,Fras-Le,Bens Industriais,Material de Transporte,Material Rodoviário
FRIO3,Metalfrio,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais
FRRN3B,All Norte,Bens Industriais,Transporte,Transporte Ferroviário
FRRN5B,All Norte,Bens Industriais,Transporte,Transporte Ferroviário
FRRN6B,All Norte,Bens Industriais,Transporte,Transporte Ferroviário
FRTA3,Pomifrutas,Consumo não Cíclico,Agropecuária,Agricultura
G2DI33,G2d Invest,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
GEPA3,Ger Paranap,Utilidade Pública,Energia Elétrica,Energia Elétrica
GEPA4,Ger Paranap,Utilidade Pública,Energia Elétrica,Energia Elétrica
GETT11,Getnet BR,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
GETT3,Getnet BR,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
GETT4,Getnet BR,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos
GFSA3,Gafisa,Consumo Cíclico,Construção Civil,Incorporações
